id,name,type,typecode,address,location,tel,pname,cityname,adname,business_area,photos,lng,lat,rating,price_level,popularity,surrounding_population,competitors,transport
B0HUXNI0ZD,麦当劳(深圳中心书城餐厅),餐饮服务;快餐厅;快餐厅,050300,红荔西路中心书城南区L101和L102号铺位,"114.060004,22.545713",4009200205,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0HUXNI0ZD/comment/235158cd61e9a14109d84e9b4f6b2aac_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0HUXNI0ZD/comment/6f5e629eb6b71318d3eb56ecfe7226fb_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0HUXNI0ZD/comment/58ec165f38ba67a1edf7188a78c1794b_2048_2048_80.jpg'}]",114.060004,22.545713,4.0,1,50,5000,0,0.5
B0H1NN8DYC,农耕记·湖南土菜(中心城深圳书城店),餐饮服务;中餐厅;中餐厅,050100,福田一路深圳中心书城南区商业街首层(麦当劳附近),"114.059370,22.545618",0755-82724741;18126467478,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/dbf37c33292451e1f17df054d0c92c06'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0H1NN8DYC/comment/22d2996e1502707f11399b284cbf9e94_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0H1NN8DYC/comment/e3f562d862d655f3cf7937e1b88dd8b0_2048_2048_80.jpg'}]",114.05937,22.545618,4.2,2,60,8000,1,0.6
B0H1KU2HP9,蔡澜点心(深圳福田中心书城店),餐饮服务;餐饮相关场所;餐饮相关,050000,福中一路深圳书城中心城南区首层,"114.059386,22.546532",0755-23943215,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0H1KU2HP9/comment/99e921ab91a0f8d7338334ef9d3c8649_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/fe620f4b93ba483dcd4b12964cf5148e'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e7c4814b50dbe176b9b1115835c8105e'}]",114.059386,22.546532,4.5,2,70,11000,2,0.7
B0FFLI0WN9,老碗会•陕西手工面食大师(中心书城店),餐饮服务;中餐厅;中餐厅,050100,莲花街道福中社区福中一路深圳书城中心城N208,"114.059817,22.546909",0755-23943283,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0FFLI0WN9/comment/670b92ccb59dfeb1d84da3562145d225_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/0dfec208f862e8ea69abacdc5eca4ecf'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFLI0WN9/comment/19B3FE67_DDAE_4E5F_98B2_D1695C18CAE0_L0_001_781_635__1660730154827_53301581.jpg'}]",114.059817,22.546909,4.7,3,80,14000,3,0.8
B02F37UAK5,肯德基(中心书城店),餐饮服务;快餐厅;肯德基,050301,红荔路深圳中心书城首层(少年宫地铁站D口步行120米),"114.059956,22.547193",0755-23992116,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/62e8c0ce15bcc103e31e666dae763967'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d0a87f377c8ddf776cb3cc18d9aed25d'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/423771f81c6ab874ef5f34985404c37c'}]",114.059956,22.547193,4.9,3,90,17000,4,0.9
B0KBLR67UX,京炙坊(江苏大厦店),餐饮服务;餐饮相关场所;餐饮相关,050000,益田路6013号江苏大厦五楼,"114.055118,22.546151",0755-83068088,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/cac100c0d0e9fc96f1b4d371bbc69960'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KBLR67UX/comment/0BF64C8A_7FFF_49D2_8FB9_DE45D4370120_L0_001_1500_2000_1728790427561_15903125.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KBLR67UX/comment/11C54B4E_9C7A_452D_8D95_F1267DCD9149_L0_001_1126_2000_1735443617187_00207123.jpg'}]",114.055118,22.546151,3.8,4,100,20000,5,0.5
B0KKSSFEBS,观海(福田基金店),餐饮服务;餐饮相关场所;餐饮相关,050000,莲花街道福新社区益田路5999号基金大厦裙楼3层4层整层,"114.055691,22.541224",0755-83283199;0755-83283699,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ad9f6b48d533345f3c0900023c95d786'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/7d96c889c0b18d5c4240c46059855330'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6901d31b62b7427af54a3d613cd59179'}]",114.055691,22.541224,4.0,1,110,23000,6,0.6
B0HACYUEZN,原石牛扒LAVA STONE,餐饮服务;外国餐厅;西餐厅(综合风味),050201,莲花街道福中社区福中一路深圳书城中心城2层N229-2号铺,"114.059114,22.548131",0755-26785518,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0HACYUEZN/comment/0528ae3044055f0ed2475fc2700f32e4_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/87803a431e78baf1ef14da76b723d805'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9170374e79c831f30e728cf16c9b49ad'}]",114.059114,22.548131,4.2,2,120,26000,7,0.7
B0FFHD9X94,尊宝比萨(市民中心店),餐饮服务;快餐厅;快餐厅,050300,莲花街道福中三路市民中心地铁站负一层物业区A-8商铺A26,"114.060897,22.541560",18124198963,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/274262a989406c7aba369ff5d1f170f6'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/795ef90dc9d858ee261ee7da57b7eced'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/14c3d221b07f235b5c47ad757f3af8be'}]",114.060897,22.54156,4.5,2,130,29000,8,0.8
B0HA55LLS3,顺德公猪肚鸡(中心书城店),餐饮服务;中餐厅;中餐厅,050100,福中一路深圳书城中心城二层N207号铺,"114.060036,22.547081",[],广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0HA55LLS3/comment/891BD211_73DD_476B_B188_6E0203146AEF_L0_001_1500_200_1747672654701_31441958.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0HA55LLS3/comment/dba3954d22b832c84d1dc1e283ad19f3_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0HA55LLS3/comment/ECB6A0CA_517B_4FAE_9101_23EF3F796307_L0_001_1500_200_1747672654433_78670139.jpg'}]",114.060036,22.547081,4.7,3,140,32000,9,0.9
B0FFLEAOT9,观璟高空日本料理(福田市民中心灯光秀店),餐饮服务;外国餐厅;日本料理,050202,金田路安联大厦B座36楼B01-C,"114.063681,22.542271",18038095098,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0FFLEAOT9/comment/4c7d33e9edb31290e5c49c409569aa01_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFLEAOT9/comment/content_media_external_images_media_1000338206_ss__1742018771163_15943096.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFLEAOT9/comment/19de2b08268300c9fb0e53bff748e5fe_2048_2048_80.jpg'}]",114.063681,22.542271,4.9,3,150,35000,10,0.5
B0FFK9L0IC,湘舍壹号(免税商务大厦店),餐饮服务;中餐厅;中餐厅,050100,福华一路6号免税商务大厦F1层103-202,"114.054840,22.537247",0755-88607225;19924930198,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0FFK9L0IC/comment/content_media_external_images_media_1000005533_ss__1742908364884_60366817.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFK9L0IC/comment/1707560D_A53C_447E_91E8_A23073478733_L0_001_1290_1534_1739798409183_73168831.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFK9L0IC/comment/902C80A3_550A_4EE9_BB82_39021907F892_L0_001_IMG_8127_jpg_1727150221937_4b79bd08.jpg'}]",114.05484,22.537247,3.8,4,160,38000,11,0.6
B02F37UAJX,必胜客(深圳中心书城店),餐饮服务;快餐厅;必胜客,050303,红荔路深圳中心书城1层(少年宫地铁站E口步行160米),"114.059130,22.547556",0755-23992167;4009701890,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c2c6a44f64ec73b74decd82d4a9ae56e'}, {'title': [], 'url': 'https://aos-comment.amap.com/B02F37UAJX/comment/IMG_20250321_114252_tem_1742528611288_76207753.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/032df6ead3dd33a54d8f6e9a907428d9'}]",114.05913,22.547556,4.0,1,170,41000,12,0.7
B0FFHJ1CJH,胡桃里音乐酒馆(领展中心城店),餐饮服务;中餐厅;中餐厅,050100,福田街道福安社区福华一路3号领展中心城L1层RL1090A号铺面,"114.059591,22.536387",0755-82779219,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a807368059537ac4d9d0179a68f8bf1d'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/566fec66e22b578f867ed8dedbcd4fe7'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFHJ1CJH/comment/81785c1d9a390d174835f56bccc2251c_2048_2048_80.jpg'}]",114.059591,22.536387,4.2,2,180,44000,13,0.8
B02F37UPVD,北海渔村(新华保险大厦店),餐饮服务;中餐厅;海鲜酒楼,050119,民田路171号新华保险大厦2层,"114.052688,22.537931",0755-33331818;0755-88263666,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a029149b05aad04e6e227cab4ae515f9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/866d0277bf11fb61a18126b42f115985'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/b9378384dda5b4664e3d14f5a338207c'}]",114.052688,22.537931,4.5,2,190,47000,14,0.9
B0KDARLAKB,吴莊(领展中心城店),餐饮服务;餐饮相关场所;餐饮相关,050000,福华一路3号领展购物广场RM层062号,"114.059838,22.536440",0755-23883829,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0KDARLAKB/comment/content_media_external_images_media_1000005740_ss__1744122530755_62404515.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KDARLAKB/comment/AAD9EA69_A23A_43AD_AB2D_91E32D7C8780_L0_001_2000_1500_1731401043390_14642586.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KDARLAKB/comment/content_media_external_images_media_1000000687_ss__1725887138376_87194322.jpg'}]",114.059838,22.53644,4.7,3,50,5000,0,0.5
B02F37UALO,麦当劳(深圳麦当劳兴融二路华融大厦分店),餐饮服务;快餐厅;麦当劳,050302,福安社区民田路178号华融大厦101、102、103号商铺,"114.053558,22.537898",0755-23914257,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7312818c670d7806deb485b555cb1002'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ef320d1a232f538d48b3be835eaedb04'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/1d8b44861cafb1106e75c02727ae31bd'}]",114.053558,22.537898,4.9,3,60,8000,1,0.6
